occupation,occupation_label,workers,mean_income,mean_income_low,mean_income_upp,mean_hourly_income,mean_hours,sample_n,p10,p25,p50,p75,p90,hourly_p50,gini_within,top10_income_share,share_Homem,share_Mulher,share_brancaamarela,share_pretapardaindigena,share_outra,mean_Homem,mean_Mulher,gender_gap_women_vs_men,mean_median_ratio,p90_p50_ratio,p50_p10_ratio,ci_relative_width,wage_anatomy_type
7212,7212 - Soldadores e oxicortadores,310358.09134406,2866.5210633771485,2722.6169717910307,3010.4251549632663,15.7940578823084,42.21254067855892,604,1600,2000,2804,3500,4500,15.221499055217299,0.25418761627762565,0.2041448486127091,0.9596173805606829,0.04038261943931714,0.3871975096649915,0.6128024903350083,NA,2851.7512763243813,3217.4974130989403,0.12825316843408907,1.0222970982086834,1.6048502139800285,1.7525,0.10040330310120198,meio_heterogeneo
7422,7422 - Instaladores e reparadores em tecnologias da informação e comunicações,280934.8098538,2821.0614482848073,2560.7624904187333,3081.3604061508813,16.463003820725177,41.170674466429325,589,1000,1621,2200,3000,5000,12.702078521939955,0.3534466831756029,0.29298786410696687,0.9382719605046642,0.06172803949533573,0.4441145520979389,0.5558854479020612,NA,2825.7728927555286,2749.447052679605,-0.027010606645566315,1.282300658311276,2.272727272727273,2.2,0.18453972920322925,meio_heterogeneo
7523,7523 - Operadores de máquinas de lavrar madeira,75940.02815782,2714.675525027367,2424.0121930108253,3005.3388570439083,14.948023741231664,41.88020892039631,136,1621,1900,2300,3000,4500,12.12471131639723,0.24565093584204978,0.22346155739408366,0.8018015375141775,0.19819846248582262,0.4390539609117408,0.5609460390882591,NA,2749.775228992393,2572.681504223781,-0.06440298206973993,1.1802937065336376,1.9565217391304348,1.418877236273905,0.21414222756040896,meio_heterogeneo
4120,4120 - Secretários (geral),474683.04149711,2702.0101142244625,2543.78350639983,2860.236722049095,16.545253501465087,38.852671906250215,1008,1600,1621,2000,3000,4680,12.478829869130099,0.30319235735168304,0.2657613919868488,0.12212128837965434,0.8778787116203456,0.51329011737455,0.48670988262544995,NA,3584.222942653036,2579.2859089251897,-0.2803779368099222,1.3510050571122312,2.34,1.25,0.1171177021075268,meio_heterogeneo
8344,8344 - Operadores de empilhadeiras,322122.29709772,2701.9588810871087,2585.1664576845915,2818.751304489626,14.567516218592134,43.33046949971125,575,1800,2000,2500,3000,3800,13.121981944152845,0.17871124949734152,0.17647818017898861,0.9392575352260877,0.0607424647739124,0.4165820210437081,0.5834179789562919,NA,2712.8628507639405,2533.3513719752987,-0.06617049540049236,1.0807835524348435,1.52,1.3888888888888888,0.0864501856190549,meio_heterogeneo
2359,2359 - Profissionais de ensino não classificados anteriormente,206827.24636012,2699.9577095784516,1931.0698394404944,3468.845579716409,22.399086073104318,28.05771661539991,467,500,800,1500,3000,5000,12.317167051578137,0.5599272122975483,0.456701854579468,0.250156904485367,0.749843095514633,0.4572415659863699,0.54275843401363,NA,4811.795117638188,1995.4227049398517,-0.5853059708162967,1.7999718063856345,3.3333333333333335,3,0.5695554914880535,teto_alto_base_distante
5243,5243 - Vendedores a domicilio,1081210.0521607,2688.4983810083345,2497.3916897994422,2879.6050722172267,18.600902556592132,34.351432057544564,2499,350,1000,2000,3200,5000,13.323858589447504,0.48866882559326497,0.3532197525135287,0.47761777829051,0.52238222170949,0.4422495251121847,0.5577504748878154,NA,3715.634751888785,1749.3802964458757,-0.5291839986272586,1.3442491905041671,2.5,5.714285714285714,0.1421661196144866,meio_heterogeneo
6122,6122 - Avicultores e trabalhadores qualificados da avicultura,140300.48915724,2677.0252419558647,1884.677186064109,3469.37329784762,15.461706044603847,40.630610214194284,578,150,500,1621,2800,5000,9.237875288683604,0.5963282068416731,0.4671380896500475,0.6351106398718624,0.36488936012813755,0.45863307732423175,0.5413669226757681,NA,2966.7526821980064,2172.738189310631,-0.26763757479747396,1.6514652942355734,3.0845157310302285,10.806666666666667,0.5919615874169771,teto_alto_base_distante
7112,7112 - Pedreiros,2695851.92784956,2649.4257110784047,2577.357912948755,2721.4935092080545,15.264235449394024,40.28351940613217,6064,1000,1621,2200,3000,4500,12.990762124711317,0.3248028121660742,0.25324897583559486,0.9722231014876798,0.027776898512320205,0.3164094228769862,0.6835905771230137,NA,2645.6149727280895,2782.805895920073,0.0518559671782155,1.2042844141265476,2.0454545454545454,2.2,0.054402580776885326,meio_heterogeneo
7127,7127 - Mecânicos-instaladores de sistemas de refrigeração e climatização,84887.82596832,2646.8104057951837,2309.3687930041706,2984.2520185861968,16.252129019306434,38.885166204542124,192,1000,1621,2000,3000,5000,11.547344110854505,0.33287943370414097,0.24051278457419958,0.9880478542809112,0.01195214571908867,0.30788312719357114,0.6921168728064288,NA,2634.4353320465225,3669.820445273286,0.3930197491021501,1.3234052028975918,2.5,2,0.2549798142339063,meio_heterogeneo
7534,"7534 - Tapeceiros, colchoeiros e afins",93304.34546803,2629.880933819469,2278.5697618195227,2981.1921058194157,14.612480835121293,41.766982981503794,184,1200,1600,2000,3000,5000,11.547344110854505,0.33322747461044633,0.2626639785327581,0.9089959384755623,0.09100406152443777,0.4851441223745582,0.5148558776254418,NA,2655.528121984544,2373.703467837785,-0.10612753516469808,1.3149404669097347,2.5,1.6666666666666667,0.2671688801437294,meio_heterogeneo
