occupation,occupation_label,workers,avg_income,avg_income_low,avg_income_upp,avg_hours,sample_n,median_income,rank
4412,4412 - Trabalhadores de serviços de correios,55609.25419428,4394.5245283495115,3996.348334820446,4792.700721878577,41.70081949253743,101,4000,88
3434,3434 - Chefes de cozinha,63126.85453682,4380.715392454069,3368.8741678226165,5392.556617085522,47.771747377019935,104,3500,89
0210,0210 - Graduados e praças das forças armadas,256575.21899464,4368.5141619851165,3906.9146200957957,4830.113703874437,42.5961352476434,524,3000,90
2635,2635 - Assistentes sociais,158045.38599562,4315.575263730074,3677.7932242990464,4953.357303161101,36.711354484620614,346,3200,91
3117,3117 - Técnicos em engenharia de minas e metalurgia,73971.5686311,4156.904787987964,3427.101214201167,4886.70836177476,43.81887686762726,98,3000,92
5221,5221 - Comerciantes de lojas,3217584.23401134,4152.792693868725,3946.2837667364315,4359.301621001018,45.7719909551867,7588,3000,93
3114,3114 - Técnicos em eletrônica,135636.36382115,4112.805839652794,3575.0785475934417,4650.533131712146,41.769553526970206,237,3000,94
3116,3116 - Técnicos em química industrial,46651.15397881,4110.979648835005,3544.2584126939937,4677.700884976016,40.727006465938125,81,3600,95
3513,3513 - Técnicos de redes e sistemas de computadores,269266.10086354,4106.089059911389,3669.540321106995,4542.637798715783,42.30041892830069,507,3000,96
3511,3511 - Técnicos em operações de tecnologia da informação e das comunicações,228432.1075964,4099.509995707791,3619.4994412714186,4579.520550144163,38.39830071897207,396,3000,97
3112,3112 - Técnicos em engenharia civil,139350.66568674,4093.895619768565,3648.618677540283,4539.172561996847,40.36015938473458,289,3100,98
2352,2352 - Educadores para necessidades especiais,41202.39115736,3994.082049243482,3497.329408556114,4490.83468993085,36.76556344801813,85,3800,99
7233,7233 - Mecânicos e reparadores de máquinas agrícolas e industriais,603343.6837078,3977.706319973793,3764.886328987706,4190.526310959881,43.21600647183227,1200,3150,100
3339,3339 - Agentes de serviços comerciais não classificados anteriormente,242923.03215335,3940.8349294658274,3594.3363981276816,4287.333460803973,38.46049879343562,471,3000,101
8350,8350 - Marinheiros de coberta e afins,62768.01847729,3887.1838840209125,3230.71656473787,4543.651203303954,42.88197028240328,187,3000,102
9311,9311 - Trabalhadores elementares de minas e pedreiras,38685.06807541,3854.4389773453727,2509.59279922063,5199.285155470116,42.66612521969736,114,2000,103
3118,3118 - Desenhistas e projetistas técnicos,62642.10585817,3832.4271793320913,3262.592384044822,4402.26197461936,41.825440232171985,106,3200,104
3521,3521 - Técnicos de radiodifusão e gravação audiovisual,144529.04679389,3824.204853727505,3287.2796875408353,4361.130019914174,38.89972648706299,262,3000,105
2342,2342 - Professores do ensino pré-escolar,851723.37099562,3814.9471806491965,3636.5085618708704,3993.3857994275227,34.84336703025498,1774,3242,106
3422,"3422 - Treinadores, instrutores e árbitros de atividades esportivas",56296.72179051,3811.701398035945,2300.010567350395,5323.3922287214955,31.163253982080168,120,2200,107
3431,3431 - Fotógrafos,146958.28450188,3811.3857461844023,3333.663162293298,4289.108330075506,37.126314499780534,257,3500,108
3113,3113 - Eletrotécnicos,207652.69468806,3799.5803619599606,3523.321809501409,4075.838914418512,41.825718380977065,381,3400,109
3211,3211 - Técnicos em aparelhos de diagnóstico e tratamento médico,71658.67548666,3724.3330320130476,3259.7019904320546,4188.96407359404,37.852296131471896,152,3050,110
3119,3119 - Técnicos em ciências físicas e da engenharia não classificados anteriormente,141621.43818735,3716.022769000324,3244.2608584872487,4187.784679513399,37.80304974666991,256,2600,111
3522,3522 - Técnicos de engenharia de telecomunicações,60358.87569435,3666.162664795684,3104.4907322666795,4227.834597324689,43.53735789897386,108,2800,112
