group,weight,mean_income,theil_within,group_variable
4212,60256.98512017,1904.059530958732,0.3126032059540856,occupation
5112,59780.82142434,2486.037434198901,0.11283374719578115,occupation
9621,59665.57644231,1718.259257597461,0.20724089091140158,occupation
8122,58184.97947599,2938.88448345477,0.055531615474953847,occupation
8131,57468.88058802,2634.9813699339115,0.08310877246029218,occupation
3422,56296.72179051,3811.7013980359447,0.6572469367439661,occupation
5419,56095.26123386,4797.326536644606,0.2553127220020488,occupation
4412,55609.25419428,4394.5245283495115,0.06284458154652711,occupation
5329,55438.43006829,2251.831498594844,0.08886162282657678,occupation
3435,54407.51865841,2810.8615388366516,0.44991776568947583,occupation
1349,54317.29147236,12839.541336413216,0.3999794665976799,occupation
7319,54019.34009244,2041.7793453681466,0.41985698101169505,occupation
1111,53753.32308635,8674.400138354262,0.17007877987407927,occupation
8154,52877.90660915,2630.7631284747454,0.1111289453774439,occupation
8181,52740.65517402,2496.390883470727,0.08059521273043305,occupation
7234,52352.43888578,2207.8853314295593,0.3273070392555356,occupation
9214,52230.61327807,1408.913698643584,0.17025325547665604,occupation
3214,51084.90874805,3430.6110710219014,0.18575898174401856,occupation
7544,50509.2854497,2271.0657546810926,0.29958629361664135,occupation
7121,49110.18077893,2685.3488122919603,0.17684005594242608,occupation
3312,49044.78796025,4465.760924554312,0.24322809600744213,occupation
2433,48949.82005358,7487.95564989016,0.25917437328915016,occupation
1439,48456.95541218,6546.01925977922,0.23825548778109285,occupation
2521,48316.58332168,8157.164675720639,0.1312360445923819,occupation
2354,48301.87126599,3370.143890186935,0.18448587518835963,occupation
7111,47715.46793433,6390.820779221779,0.35065549618286906,occupation
3432,47035.57581053,4875.603512499092,0.3095812658424058,occupation
9312,47028.54296387,2191.5505281151804,0.09148912205774688,occupation
3116,46651.15397881,4110.979648835005,0.11236002140091107,occupation
7515,46587.21641988,2920.0803867159384,0.20655700006511146,occupation
8182,45750.67867744,2903.3490536377667,0.0923407924347138,occupation
3255,44983.25462317,2129.1091020242984,0.17529012713872458,occupation
2656,44004.26967233,3519.8286952186036,0.2696621118651476,occupation
5165,43443.42685928,2607.869346077506,0.06637478775675172,occupation
2641,43269.24788357,6355.971935410682,0.35344074650841667,occupation
